Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,394.000000,396.000000,387.000000,387.000000,353.709106,10430500
2023-01-05,387.000000,387.000000,361.000000,362.000000,330.859711,29352500
2023-01-06,362.000000,369.000000,350.000000,368.000000,336.343567,14083500
2023-01-09,370.000000,385.000000,368.000000,378.000000,345.483337,17583000
2023-01-10,378.000000,381.000000,372.000000,375.000000,342.741394,6444000
2023-01-11,375.000000,379.000000,368.000000,371.000000,339.085510,8865000
2023-01-12,371.000000,378.000000,370.000000,373.000000,340.913452,6011000
2023-01-13,373.000000,380.000000,372.000000,377.000000,344.569366,10043500
2023-01-16,377.000000,380.000000,375.000000,377.000000,344.569366,5529500
2023-01-17,377.000000,388.000000,376.000000,382.000000,349.139252,11269500
2023-01-18,382.000000,388.000000,377.000000,385.000000,351.881165,11120000
2023-01-19,384.000000,387.000000,384.000000,385.000000,351.881165,4628000
2023-01-20,385.000000,404.000000,384.000000,404.000000,369.246735,24509500
2023-01-24,410.000000,410.000000,396.000000,399.000000,364.676849,13341500
2023-01-25,399.000000,434.000000,393.000000,434.000000,396.666046,51333500
2023-01-26,436.000000,486.000000,436.000000,480.000000,438.708984,154453500
2023-01-27,482.000000,490.000000,456.000000,468.000000,427.741272,96568500
2023-01-30,472.000000,474.000000,450.000000,452.000000,413.117645,52643500
2023-01-31,456.000000,472.000000,430.000000,434.000000,396.666046,62795700
2023-02-01,434.000000,436.000000,414.000000,420.000000,383.870361,39358000
2023-02-02,420.000000,452.000000,420.000000,436.000000,398.493988,61315400
2023-02-03,440.000000,442.000000,422.000000,424.000000,387.526276,29919400
2023-02-06,424.000000,434.000000,412.000000,422.000000,385.698303,22609200
2023-02-07,422.000000,434.000000,422.000000,424.000000,387.526276,18746300
2023-02-08,426.000000,430.000000,424.000000,428.000000,391.182190,10545600
2023-02-09,428.000000,434.000000,424.000000,424.000000,387.526276,9812800
2023-02-10,424.000000,424.000000,400.000000,402.000000,367.418762,49358200
2023-02-13,402.000000,410.000000,388.000000,408.000000,372.902649,19644400
2023-02-14,408.000000,416.000000,406.000000,406.000000,371.074707,17323500
2023-02-15,406.000000,410.000000,402.000000,406.000000,371.074707,12473000
2023-02-16,408.000000,414.000000,406.000000,406.000000,371.074707,10570600
2023-02-17,408.000000,408.000000,402.000000,404.000000,369.246735,5791900
2023-02-20,406.000000,408.000000,400.000000,402.000000,367.418762,9382800
2023-02-21,404.000000,428.000000,402.000000,426.000000,389.354218,44327500
2023-02-22,428.000000,432.000000,410.000000,414.000000,378.386505,33540200
2023-02-23,416.000000,424.000000,410.000000,414.000000,378.386505,18858700
2023-02-24,416.000000,420.000000,412.000000,416.000000,380.214447,9092400
2023-02-27,416.000000,426.000000,412.000000,414.000000,378.386505,18456300
2023-02-28,416.000000,420.000000,412.000000,418.000000,382.042419,16437700
2023-03-01,418.000000,422.000000,414.000000,414.000000,378.386505,9385400
2023-03-02,418.000000,418.000000,414.000000,414.000000,378.386505,10371500
2023-03-03,410.000000,422.000000,410.000000,414.000000,378.386505,11309000
2023-03-06,414.000000,432.000000,412.000000,426.000000,389.354218,41061500
2023-03-07,426.000000,430.000000,418.000000,420.000000,383.870361,17192400
2023-03-08,420.000000,420.000000,400.000000,406.000000,371.074707,24971800
2023-03-09,406.000000,412.000000,404.000000,406.000000,371.074707,10118700
2023-03-10,408.000000,410.000000,400.000000,404.000000,369.246735,11812400
2023-03-13,404.000000,404.000000,388.000000,390.000000,356.451050,23019900
2023-03-14,390.000000,390.000000,366.000000,372.000000,339.999451,50513200
2023-03-15,372.000000,382.000000,358.000000,366.000000,334.515594,29058100
2023-03-16,366.000000,366.000000,344.000000,346.000000,316.236053,34288500
2023-03-17,348.000000,362.000000,348.000000,360.000000,329.031738,18541100
2023-03-20,362.000000,364.000000,346.000000,350.000000,319.891968,13324000
2023-03-21,362.000000,376.000000,360.000000,370.000000,338.171509,41647500
2023-03-24,376.000000,382.000000,372.000000,374.000000,341.827423,32514500
2023-03-27,376.000000,378.000000,366.000000,368.000000,336.343567,17765700
2023-03-28,368.000000,374.000000,368.000000,372.000000,339.999451,13975200
2023-03-29,372.000000,382.000000,372.000000,376.000000,343.655365,20266300
2023-03-30,376.000000,378.000000,372.000000,374.000000,341.827423,8255400
2023-03-31,372.000000,382.000000,372.000000,374.000000,341.827423,19429700
2023-04-03,378.000000,378.000000,372.000000,372.000000,339.999451,7294500
2023-04-04,374.000000,376.000000,364.000000,368.000000,336.343567,21006900
2023-04-05,368.000000,370.000000,366.000000,366.000000,334.515594,8471700
2023-04-06,366.000000,370.000000,366.000000,366.000000,334.515594,9818300
2023-04-10,366.000000,372.000000,364.000000,366.000000,334.515594,9049400
2023-04-11,368.000000,370.000000,366.000000,368.000000,336.343567,5326700
2023-04-12,370.000000,370.000000,366.000000,366.000000,334.515594,6938100
2023-04-13,368.000000,368.000000,364.000000,368.000000,336.343567,6097300
2023-04-14,368.000000,368.000000,364.000000,364.000000,332.687653,7100700
2023-04-17,366.000000,366.000000,354.000000,358.000000,327.203796,13199600
